dataset,generation_engine,pruning_method,optimisation_engine,lookup_id,energy,status,xyz_file,log_file
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf89,-21.7968,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf89_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf89_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf249,-9.0619,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf249_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf249_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf219,-9.5762,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf219_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf219_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf116,-11.4955,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf116_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf116_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QTKPMCIBUROOGY-UHFFFAOYSA-N_conf237,-15.454,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QTKPMCIBUROOGY-UHFFFAOYSA-N_conf237_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QTKPMCIBUROOGY-UHFFFAOYSA-N_conf237_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QTKPMCIBUROOGY-UHFFFAOYSA-N_conf146,-16.5164,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QTKPMCIBUROOGY-UHFFFAOYSA-N_conf146_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QTKPMCIBUROOGY-UHFFFAOYSA-N_conf146_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QTKPMCIBUROOGY-UHFFFAOYSA-N_conf214,-13.0273,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QTKPMCIBUROOGY-UHFFFAOYSA-N_conf214_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QTKPMCIBUROOGY-UHFFFAOYSA-N_conf214_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QXLXSQHHHGJQDK-MDWZMJQESA-N_conf41,-20.1453,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QXLXSQHHHGJQDK-MDWZMJQESA-N_conf41_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QXLXSQHHHGJQDK-MDWZMJQESA-N_conf41_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QXLXSQHHHGJQDK-MDWZMJQESA-N_conf85,-22.5127,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QXLXSQHHHGJQDK-MDWZMJQESA-N_conf85_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QXLXSQHHHGJQDK-MDWZMJQESA-N_conf85_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,QXLXSQHHHGJQDK-MDWZMJQESA-N_conf238,-23.7066,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/QXLXSQHHHGJQDK-MDWZMJQESA-N_conf238_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/QXLXSQHHHGJQDK-MDWZMJQESA-N_conf238_xtb.log
